date,date_dji,open_dji,high_dji,low_dji,close_dji,adj_close_dji,volume_dji,sma_dji,rsi_dji,slowk_dji,slowd_dji,fastk_dji,fastd_dji,upper_dji,middle_dji,lower_dji,macd_dji,macdsignal_dji,macdhist_dji,roc_dji,rocp_dji,rocr100_dji,adx_dji,adxr_dji,apo_dji,cmo_dji,mom_dji,ppo_dji,trix_dji
2017-07-21,2017-07-21,21591.7207,21592.60938,21503.7793,21580.07031,21580.07031,362830000,21441.132356666672,59.105479247396694,68.18812653871443,68.8629218232781,0.0,26.564623736748725,21675.953127867582,21623.464469674494,21570.975811481407,49.55514225711886,55.02149339255664,-5.466351135437783,-0.26652468967180987,-0.002665246896718118,99.73347531032819,14.64496559384958,15.88949832623757,90.1451575641222,13.599186558668336,-57.669920000000275,0.4188449828783136,0.07966092826405813
2017-07-24,2017-07-24,21577.7793,21577.7793,21496.13086,21513.16992,21513.16992,284080000,21449.172330666675,54.31107787623783,48.6595560200848,60.88974864827995,0.0,5.481975340998815,21699.70985916243,21614.337878308535,21528.96589745464,31.889621145386627,47.31086931016664,-15.42124816478001,-0.5388455154670679,-0.005388455154670646,99.46115448453293,14.25687633578041,16.633794006246045,66.69113153847866,-6.488594511552607,-116.5507800000014,0.3098308635172262,0.04911860020291314
2017-07-25,2017-07-25,21638.56055,21670.61914,21577.36914,21613.42969,21613.42969,304300000,21461.764323000007,59.60003851255803,48.78535630932916,55.211012956042794,56.46144833406303,18.820482778021116,21694.409774768796,21606.850032465314,21519.290290161833,34.09520307104685,42.90564723046004,-8.810444159413187,0.1793729013385148,0.0017937290133850856,100.17937290133851,14.04232687599999,17.330810969821318,41.40745320514907,18.659647858260332,38.69922000000224,0.1921675269942845,0.038208400082440086
2017-07-26,2017-07-26,21690.38086,21742.69922,21683.28906,21711.00977,21711.00977,278240000,21474.515625333344,63.97148290962084,58.80124218760557,52.08205150567318,100.0,52.153816111354445,21743.494263220844,21615.727705976053,21487.96114873126,47.99392983895814,44.60174143329274,3.392188405665401,0.32466420988181977,0.003246642098818228,100.32466420988182,15.933545296608086,17.41928097099331,41.29990602566613,35.85929467496088,70.25977000000057,0.19146563335378186,0.0512812744426272
2017-07-27,2017-07-27,21717.41992,21798.4707,21687.84961,21796.55078,21796.55078,407320000,21488.581966333342,67.31071996066443,84.57908598230065,64.05522815974513,100.0,85.48714944468777,21845.833450245394,21646.04666147304,21446.259872700684,66.76456276465979,51.98934854374842,14.775214220911366,0.8549572778582037,0.008549572778582053,100.8549572778582,18.911920351734246,17.778538541867473,37.418145000025106,47.263926409381696,184.77148000000307,0.17323014659635846,0.08083279123856091
2017-07-28,2017-07-28,21787.50977,21841.17969,21756.11914,21830.31055,21830.31055,285630000,21504.262305000015,68.54962077551924,94.45425117444307,79.2781931147831,100.0,100.00000000000011,21924.973074304657,21690.75686842024,21456.540662535826,80.35452709612582,61.444408061207554,18.910119034918267,1.159589549085216,0.01159589549085205,101.15958954908521,22.40883405150452,18.90290015778117,41.436924615409225,51.25465827744048,250.24023999999918,0.1915480461198163,0.11034418735365037
2017-07-31,2017-07-31,21863.39063,21929.80078,21861.71094,21891.11914,21891.11914,307610000,21521.156966333343,70.7033877974794,95.07976885965017,91.37103533879797,100.0,100.00000000000011,21938.906723349,21745.010317703985,21551.113912058972,94.08207823391422,72.32363145210978,21.758446781804437,1.756827196575217,0.01756827196575216,101.75682719657522,27.03935054329185,20.842158068570715,65.66466474361368,57.94269223734223,377.9492199999986,0.3031572270719151,0.13845302446808816
2017-08-01,2017-08-01,21961.41992,21990.96094,21940.81055,21963.91992,21963.91992,328410000,21535.654622666676,73.08022805780283,92.3618040316337,93.96527468857563,100.0,100.00000000000011,21977.760109178744,21806.69413482274,21635.62816046674,109.0467279821969,84.56466362880549,24.482064353391408,1.6216317124448043,0.01621631712444798,101.62163171244481,31.910995127618353,23.08393573169938,109.18735089746042,64.70632633488592,350.4902299999994,0.5033561166806594,0.16609418980249036
2017-08-02,2017-08-02,22004.35938,22036.09961,21967.46094,22016.24023,22016.24023,336820000,21553.957942666675,74.67069561706704,91.51093997802799,92.98417095643727,100.0,100.00000000000011,22034.884468262684,21871.828438578188,21708.772408893692,121.23220158391268,96.7871762805079,24.44502530340479,1.4058786911963939,0.014058786911964015,101.40587869119639,36.683347939235674,25.362837407617832,147.20705628208088,68.8998762712794,305.23045999999886,0.677718153583083,0.18909328586105278
2017-08-03,2017-08-03,22007.58008,22044.84961,21991.32031,22026.09961,22026.09961,278730000,21574.493619666675,74.97079457132715,93.00483920124141,92.29252773696767,100.0,100.00000000000011,22082.124878983777,21932.283226898187,21782.441574812598,125.15292535704793,106.24242597268791,18.910499384360023,1.0531429138349147,0.010531429138349188,101.05314291383492,40.89151203687943,28.41252866674376,169.23134423079682,69.69160069053176,229.54882999999973,0.7780223705469705,0.19930106845211792
2017-08-04,2017-08-04,22058.39063,22092.81055,22024.64063,22092.81055,22092.81055,253640000,21597.677669333345,76.95989963824243,95.93447753326366,93.48341890417765,100.0,100.00000000000011,22124.220312074227,21989.47225865611,21854.724205237995,131.97522010153625,114.82002401563736,17.155196085898893,1.2024565541510324,0.012024565541510358,101.20245655415103,45.13582766784186,32.02387400978805,178.7556587179788,74.76315643368943,262.5,0.8203064144926361,0.20695673987241037
2017-08-07,2017-08-07,22100.19922,22121.15039,22081.9707,22118.41992,22118.41992,213010000,21621.799674333346,77.69279559481367,97.33066168817345,95.42332614089281,100.0,100.00000000000011,22152.596783825513,22041.51705569298,21930.43732756045,134.42387300217888,121.35464034448454,13.069232657694343,1.0383241649106534,0.010383241649106542,101.03832416491065,49.123513396019405,35.766173723761966,190.03004705131752,76.52260559686911,227.3007800000014,0.870576436054278,0.2084452720699126
2017-08-08,2017-08-08,22095.14063,22179.10938,22057.28906,22085.33984,22085.33984,262000000,21644.325976333344,74.40059196146969,84.72718188169682,92.66410703437795,0.0,66.66666666666679,22159.76318885667,22080.300590384853,22000.83799191304,125.71063383922228,122.80663817606379,2.903995663158497,0.552815346451152,0.005528153464511461,100.55281534645115,53.17965861023148,40.109504576761665,185.97242987182472,59.73963544163271,121.41992000000027,0.8505679812672158,0.19430748836499756
2017-08-09,2017-08-09,22022.33984,22057.18945,21996.68945,22048.69922,22048.69922,277800000,21668.927278333344,70.82087903460767,61.57884138811337,81.21222831932786,0.0,33.33333333333345,22166.398303989106,22100.733945443848,22035.06958689859,110.0105770521368,118.54128446808812,-8.530707415951326,0.14743203045073372,0.0014743203045072867,100.14743203045073,52.39145443326011,42.15122478043923,164.05393551284942,42.261362786233114,32.458989999999176,0.7490859969041812,0.16580007235122984
2017-08-10,2017-08-10,21988.19922,21988.19922,21843.93945,21844.00977,21844.00977,303310000,21681.907291333344,54.92288074595073,28.757191260609122,58.354404843473084,0.0,1.1368683772161603e-13,22281.54129085411,22082.625833155165,21883.71037545622,66.6667197517927,101.24976289598965,-34.58304314419695,-0.8267003383446547,-0.00826700338344654,99.17329966165535,45.07849648089326,40.88092221006447,109.89963961541798,-16.957946363754274,-182.08984000000055,0.5012298432331105,0.099747482933088
2017-08-11,2017-08-11,21883.32031,21911.08984,21842.74023,21858.32031,21858.32031,237790000,21700.950325000005,55.67209085083971,11.735932890898995,34.023988513207144,3.290350929557358,1.0967836431858997,22273.38430284335,22040.704161242786,21808.02401964222,39.45293651681641,80.65082076959857,-41.19788425278216,-1.0613870945451076,-0.01061387094545104,98.93861290545489,38.85289653255567,39.872204284717554,63.09868294875196,-13.11722785918808,-234.49023999999918,0.2875331901147074,0.0385383681084539
